"Cycle","Target","EventToLaunchMs","LaunchToOnCreateMs","OnCreateToFirstFrameMs","EventToFirstFrameMs","LockScreenAppeared","Duplicate"
"1","com.android.bbkcalculator","0.13","19.5","9.98","29.66","true","false"
"2","com.android.bbkcalculator","0.25","20.36","4.51","25.33","true","false"
"3","com.android.bbkcalculator","0.13","18.13","6.64","25.08","true","false"
"4","com.android.bbkcalculator","0.14","18.82","7.03","26.12","true","false"
"5","com.android.bbkcalculator","0.14","19.4","6.71","26.33","true","false"
"6","com.android.bbkcalculator","0.11","17.2","8.23","25.57","true","false"
"7","com.android.bbkcalculator","0.11","16.92","9.33","26.55","true","false"
"8","com.android.bbkcalculator","0.14","18.21","8.64","27.11","true","false"
"9","com.android.bbkcalculator","0.13","18.51","8.63","27.5","true","false"
"10","com.android.bbkcalculator","0.14","19.53","8.13","27.97","true","false"
"11","com.android.bbkcalculator","0.14","18.22","8.9","27.38","true","false"
"12","com.android.bbkcalculator","0.14","17.54","8.25","26.04","true","false"
"13","com.android.bbkcalculator","0.15","19.55","7.76","27.65","true","false"
"14","com.android.bbkcalculator","0.11","17.94","8.68","26.96","true","false"
"15","com.android.bbkcalculator","0.14","17.96","8.09","26.35","true","false"
"16","com.android.bbkcalculator","0.14","19.45","8.14","27.84","true","false"
"17","com.android.bbkcalculator","0.15","17.42","8.31","25.99","true","false"
"18","com.android.bbkcalculator","0.13","23.28","12.7","36.19","true","false"
"19","com.android.bbkcalculator","0.16","17.71","7.29","25.34","true","false"
"20","com.android.bbkcalculator","0.14","20.68","6.21","27.09","true","false"
