"Cycle","Target","EventToLaunchMs","LaunchToOnCreateMs","OnCreateToFirstFrameMs","EventToFirstFrameMs","LockScreenAppeared","Duplicate"
"1","com.android.chrome","0.1","22.94","11.17","34.34","true","false"
"2","com.android.chrome","0.21","20.5","8.66","29.56","true","false"
"3","com.android.chrome","0.49","21.21","11.22","33.17","true","false"
"4","com.android.chrome","0.1","23.22","10.76","34.57","true","false"
"5","com.android.chrome","0.11","22.92","11.39","34.67","true","false"
"6","com.android.chrome","0.13","21.91","10.32","32.51","true","false"
"7","com.android.chrome","0.09","21.81","12.92","34.91","true","false"
"8","com.android.chrome","0.12","22.58","12.45","35.32","true","false"
"9","com.android.chrome","0.12","21.77","20.93","43.02","true","false"
"10","com.android.chrome","0.12","26.18","9.44","35.87","true","false"
"11","com.android.chrome","0.12","21.51","12.72","34.51","true","false"
"12","com.android.chrome","0.18","22.58","8.19","31.19","true","false"
"13","com.android.chrome","0.12","19.94","6.82","27","true","false"
"14","com.android.chrome","0.09","26.11","6.71","33.23","true","false"
"15","com.android.chrome","0.22","21.58","14.07","35.97","true","false"
"16","com.android.chrome","0.1","26.3","9.26","35.77","true","false"
"17","com.android.chrome","0.11","21.94","12.49","34.73","true","false"
"18","com.android.chrome","0.17","21.51","12.66","34.42","true","false"
"19","com.android.chrome","0.12","22.08","10.21","32.53","true","false"
"20","com.android.chrome","0.14","22.49","10.02","32.85","true","false"
