"Cycle","Target","EventToLaunchMs","LaunchToOnCreateMs","OnCreateToFirstFrameMs","EventToFirstFrameMs","LockScreenAppeared","Duplicate"
"1","com.android.bbkcalculator","0.13","17.36","8.98","26.66","true","false"
"2","com.android.bbkcalculator","0.15","22.36","11.54","34.22","true","false"
"3","com.android.bbkcalculator","0.12","17.46","9.06","26.84","true","false"
"4","com.android.bbkcalculator","0.09","17.58","14.92","32.71","true","false"
"5","com.android.bbkcalculator","0.14","22.59","11.67","34.7","true","false"
"6","com.android.bbkcalculator","0.11","15.41","10.72","26.38","true","false"
"7","com.android.bbkcalculator","0.12","17.47","10.78","28.49","true","false"
"8","com.android.bbkcalculator","0.15","17.25","10.24","27.87","true","false"
"9","com.android.bbkcalculator","0.12","20.97","6.5","27.7","true","false"
"10","com.android.bbkcalculator","0.11","17.22","9.8","27.32","true","false"
"11","com.android.bbkcalculator","0.12","16.31","9.43","25.95","true","false"
"12","com.android.bbkcalculator","0.11","20.03","7.92","28.24","true","false"
"13","com.android.bbkcalculator","0.14","17.82","6.14","24.29","true","false"
"14","com.android.bbkcalculator","0.15","17.41","10.45","28.09","true","false"
"15","com.android.bbkcalculator","0.15","18.49","9.11","27.96","true","false"
"16","com.android.bbkcalculator","0.15","22.11","12.89","35.37","true","false"
"17","com.android.bbkcalculator","0.14","18.5","8.45","27.29","true","false"
"18","com.android.bbkcalculator","0.14","19.38","11.43","31.14","true","false"
"19","com.android.bbkcalculator","0.12","19.51","5.51","25.27","true","false"
"20","com.android.bbkcalculator","0.12","27.87","5.95","34.03","true","false"
