"Cycle","Target","EventToLaunchMs","LaunchToOnCreateMs","OnCreateToFirstFrameMs","EventToFirstFrameMs","LockScreenAppeared","Duplicate"
"1","com.android.chrome","0.17","34.49","75.81","111.76","true","false"
"2","com.android.chrome","0.11","24.34","11.41","36.1","true","false"
"3","com.android.chrome","0.12","21.68","10.92","32.84","true","false"
"4","com.android.chrome","0.11","24.36","8.87","33.48","true","false"
"5","com.android.chrome","0.1","27.42","6.86","34.54","true","false"
"6","com.android.chrome","0.14","22.64","10.56","33.55","true","false"
"7","com.android.chrome","0.09","26.26","8.21","34.65","true","false"
"8","com.android.chrome","0.12","21.09","12.68","33.99","true","false"
"9","com.android.chrome","0.24","23.34","9.21","32.93","true","false"
"10","com.android.chrome","0.12","26.88","6.7","33.84","true","false"
"11","com.android.chrome","0.11","18.92","7.8","26.96","true","false"
"12","com.android.chrome","0.12","22.42","11.02","33.64","true","false"
"13","com.android.chrome","0.11","21.24","8.28","29.77","true","false"
"14","com.android.chrome","0.1","25.57","8.63","34.44","true","false"
"15","com.android.chrome","0.1","24.63","9.53","34.39","true","false"
"16","com.android.chrome","0.11","22.2","10.22","32.72","true","false"
"17","com.android.chrome","0.11","20.68","7.71","28.63","true","false"
"18","com.android.chrome","0.1","20.89","13.54","34.6","true","false"
"19","com.android.chrome","0.11","21.36","15.57","37.12","true","false"
"20","com.android.chrome","0.09","22.6","11.51","34.32","true","false"
